TransactionID,ProductID,CustomerID,StaffID,Date,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales
1,1,1,1,2023-01-01 00:00:00,2,12.532304149429804,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607
2,2,2,2,2023-01-01 01:00:00,1,7.083069895947755,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755
3,3,3,3,2023-01-01 02:00:00,5,6.736064100180581,North,Cash,True,Rainy,27.154342182681738,Excellent,Unknown,43,Phone Order,Sunday,33.68032050090291
4,4,4,4,2023-01-01 03:00:00,2,7.314823479246191,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382
5,5,5,5,2023-01-01 04:00:00,1,7.577727219906418,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418
6,2,6,6,2023-01-01 05:00:00,2,14.568156389954508,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016
7,2,7,7,2023-01-01 06:00:00,3,16.114718754118677,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,Unknown,15,In Store,Sunday,48.34415626235603
8,4,8,8,2023-01-01 07:00:00,5,12.94987284389628,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,Sunday,64.74936421948141
9,4,9,9,2023-01-01 08:00:00,4,17.435265988182366,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946
10,6,10,10,2023-01-01 09:00:00,2,19.8689484010045,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009
11,3,11,11,2023-01-01 10:00:00,3,17.30018943679034,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,Sunday,51.90056831037102
12,4,12,12,2023-01-01 11:00:00,4,15.423235605139388,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755
13,7,13,13,2023-01-01 12:00:00,4,12.9873904915572,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Sunday,51.9495619662288
14,8,14,14,2023-01-01 13:00:00,2,11.732796075120625,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Sunday,23.46559215024125
15,5,15,15,2023-01-01 14:00:00,1,6.265885708168135,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Sunday,6.265885708168135
16,3,16,16,2023-01-01 15:00:00,2,10.990531225920364,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Sunday,21.981062451840728
